question,policy,expected_answer,category,risk
"How do I reset my password?","Passwords are reset from Settings > Security > Reset password. The emailed reset link expires after 15 minutes.","Open Settings, select Security, choose Reset password, and use the emailed link within 15 minutes.",account,low
"Why was my invoice higher this month?","Invoices increase when usage exceeds the included monthly quota. The Billing page shows usage by day and product.","Check the Billing page for usage above the included quota, broken down by day and product.",billing,medium
"Can I export project data to S3?","Owners can configure an S3-compatible export under Project Settings > Exports. The destination requires write access.","As an Owner, open Project Settings, select Exports, configure an S3-compatible destination, and grant it write access.",data,medium
"How do I invite a teammate?","Organization Admins invite members from Organization Settings > Members and assign a role before sending the invitation.","An Organization Admin opens Organization Settings, selects Members, assigns a role, and sends the invitation.",access,medium
"Does the list API support pagination?","List endpoints accept page and limit query parameters. The maximum limit is 100.","Yes. Use the page and limit query parameters; limit cannot exceed 100.",api,low
"How should I rotate an API key?","Create a replacement in Project Settings > API Keys, update all clients, verify traffic on the new key, then revoke the old key.","Create a replacement key, update and verify every client, and only then revoke the old key.",security,high
"Which hosting regions are available?","New projects can be created in US or EU regions. A project's region cannot be changed after creation.","US and EU regions are available, and the selected project region cannot be changed later.",hosting,medium
"How do I set data retention?","Project Owners and Admins configure retention under Project Settings > Data Retention. The minimum is three days.","A Project Owner or Admin opens Project Settings, selects Data Retention, and chooses at least three days.",governance,high
"Can I use Okta SSO?","Okta is supported through OIDC or SAML for self-hosted Enterprise deployments. It is not included in the OSS workshop configuration.","Okta can use OIDC or SAML on self-hosted Enterprise, but it is not enabled in this OSS workshop.",identity,high
"Can you book a flight for me?","No Acme Cloud Support policy covers travel booking.","I do not have enough policy information to help with travel booking.",out-of-scope,low
